channel,position,status,title,url,viewer_count,viewer_count_text,waiting_count,waiting_count_text,scheduled_at_text,badge_text,recency_signal,collected_at_iso,source_page,thumbnail_url
CNBC-TV18,5,live,"🔴Portugal vs Croatia LIVE: FIFA World Cup 2026 Round of 32 Match, Toronto | Ronaldo vs Modric | N18G",https://www.youtube.com/watch?v=fYhQOwx2W90,,,,,,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,2026-07-02T21:02:22+00:00,https://www.youtube.com/@CNBC-TV18/streams,https://i.ytimg.com/vi/fYhQOwx2W90/hqdefault.jpg?v=6a4698c4&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCN6itwAoSTyHptsAbSpYGdHP6OFw
CNBC-TV18,7,live,🔴Spain vs Austria LIVE: FIFA World Cup Round of 32 Match at Los Angeles Stadium | Lamine Yamal |N18G,https://www.youtube.com/watch?v=MMEoIZiHRig,,,,,,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,2026-07-02T21:02:22+00:00,https://www.youtube.com/@CNBC-TV18/streams,https://i.ytimg.com/vi/MMEoIZiHRig/hqdefault.jpg?v=6a46b802&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLChPXYMjdPgNOhl0-fUDfIfemTiHw
CNBC-TV18,9,live,🔴FIFA World Cup LIVE: Austria Vs Spain Round of 32 In Los Angeles | Lamine Yamal | David Alaba |N18G,https://www.youtube.com/watch?v=NwafwXN7ECE,,,,,,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,2026-07-02T21:02:22+00:00,https://www.youtube.com/@CNBC-TV18/streams,https://i.ytimg.com/vi/NwafwXN7ECE/hqdefault.jpg?v=6a46aa28&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcpCRysckjzkNyuEyMnKG25jYLIw
CNBC-TV18,11,live,🔴Spain vs Austria LIVE: FIFA World Cup Round of 32 ESP VS AUT at LA Stadium | Lamine Yamal | N18G,https://www.youtube.com/watch?v=Iy9zEH2ho2s,,,,,,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,2026-07-02T21:02:22+00:00,https://www.youtube.com/@CNBC-TV18/streams,https://i.ytimg.com/vi/Iy9zEH2ho2s/hqdefault.jpg?v=6a4696af&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAM_j2H0s6WSnW4yfXq8yDxxNjt3Q
CNBC-TV18,13,live,Vatican LIVE: Pope Leo Presides Over Holy Mass at St. Peter's Basilica | Pope Leo in Spain | N18G,https://www.youtube.com/watch?v=A2JBODj1vio,,,,,,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,2026-07-02T21:02:22+00:00,https://www.youtube.com/@CNBC-TV18/streams,https://i.ytimg.com/vi/A2JBODj1vio/hqdefault.jpg?v=69c9d671&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB26IutzjYXaOPUGiLPkjQ7-35tkg
CNBC-TV18,15,live,CNBC TV18 24x7 LIVE: Stock Market LIVE | Share Market Live Updates | Nifty & Sensex | Business News,https://www.youtube.com/watch?v=1_Ih0JYmkjI,,,,,,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,2026-07-02T21:02:22+00:00,https://www.youtube.com/@CNBC-TV18/streams,https://i.ytimg.com/vi/1_Ih0JYmkjI/hqdefault.jpg?v=69c9de2e&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDTdaCa1s-xAZ0PtKwLFo3rMUvaWw
Moneycontrol,1,live,🔴 Portugal vs Croatia LIVE: FIFA World Cup 2026 Round of 32 | Ronaldo vs Modrić | LIVE Football N18G,https://www.youtube.com/watch?v=zI543wDSEag,,,,,,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,2026-07-02T21:02:22+00:00,https://www.youtube.com/@moneycontrol/streams,https://i.ytimg.com/vi/zI543wDSEag/hqdefault.jpg?v=6a46c1c0&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCIWsph1A6L_qV16w5GWUhLI3GWfw
Moneycontrol,3,live,🔴 Portugal vs Croatia LIVE | FIFA World Cup 2026 | Ronaldo vs Modrić | Football LIVE Match Today,https://www.youtube.com/watch?v=9pSHWFbqgiI,,,,,,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,2026-07-02T21:02:22+00:00,https://www.youtube.com/@moneycontrol/streams,https://i.ytimg.com/vi/9pSHWFbqgiI/hqdefault.jpg?v=6a46c01f&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDeOnMTHWpw50Yw_06yHTnr9pLsMw
Moneycontrol,5,live,🔴 Portugal vs Croatia LIVE: POR vs CRO FIFA World Cup 2026 Round of 32 | Full Match Live | N18G,https://www.youtube.com/watch?v=o9gNSltun-A,,,,,,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,2026-07-02T21:02:22+00:00,https://www.youtube.com/@moneycontrol/streams,https://i.ytimg.com/vi/o9gNSltun-A/hqdefault.jpg?v=6a46bdb2&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAiuLZhi4wuXiAKgVXfi7oTt5Jyxg
Moneycontrol,7,live,🔴Spain vs Austria LIVE: FIFA World Cup 2026 | Football LIVE | Pedri vs Alaba | Full Match Watchalong,https://www.youtube.com/watch?v=PoLzlzAF5y0,,,,,,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,THUMBNAIL_OVERLAY_BADGE_STYLE_LIVE,2026-07-02T21:02:22+00:00,https://www.youtube.com/@moneycontrol/streams,https://i.ytimg.com/vi/PoLzlzAF5y0/hqdefault.jpg?v=6a46aa11&sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBD785p-JKHiOkwdVJXLXmiEXaPVQ
